"@timestamp: Descending","name.keyword: Descending","destination_ip: Descending","source_ip: Descending","destination_port: Descending","alert.keyword: Descending","_id: Descending",Count
"November 7th 2023, 05:34:22.588",Missing,"192.168.159.152","192.168.159.151",53,Missing,7BtGqIsBe6QQWSyQWCAh,1
"November 7th 2023, 05:34:22.588",Missing,"192.168.159.152","192.168.159.151",53,Missing,7RtGqIsBe6QQWSyQWCAh,1
"November 7th 2023, 05:34:22.588",Missing,"192.168.159.152","192.168.159.151",53,Missing,ABtGqIsBe6QQWSyQfyEu,1
"November 7th 2023, 05:34:22.588",Missing,"192.168.159.152","192.168.159.151",53,Missing,FRtGqIsBe6QQWSyQpiFS,1
"November 7th 2023, 05:34:22.588",Missing,"192.168.159.152","192.168.159.151",53,Missing,"_BtGqIsBe6QQWSyQfyAu",1
"November 7th 2023, 05:34:22.588",Missing,"192.168.159.152","192.168.159.151",53,Missing,"_RtGqIsBe6QQWSyQfyAu",1
"November 7th 2023, 05:34:38.648",Missing,"192.168.159.152","192.168.159.151",53,Missing,CRtGqIsBe6QQWSyQliHW,1
"November 7th 2023, 05:34:38.648",Missing,"192.168.159.152","192.168.159.151",53,Missing,HxtGqIsBe6QQWSyQvSG7,1
"November 7th 2023, 05:34:38.648",Missing,"192.168.159.152","192.168.159.151",53,Missing,IhtGqIsBe6QQWSyQvSG7,1
"November 7th 2023, 05:34:38.648",Missing,"192.168.159.152","192.168.159.151",53,Missing,IxtGqIsBe6QQWSyQvSHG,1
"November 7th 2023, 05:34:38.648",Missing,"192.168.159.152","192.168.159.151",53,Missing,JRtGqIsBe6QQWSyQvSHG,1
"November 7th 2023, 05:34:38.648",Missing,"192.168.159.152","192.168.159.151",53,Missing,RBtGqIsBe6QQWSyQ5CHg,1
"November 7th 2023, 05:34:48.649",Missing,"192.168.159.152","192.168.159.151",53,Missing,HBtGqIsBe6QQWSyQvSG7,1
"November 7th 2023, 05:34:48.649",Missing,"192.168.159.152","192.168.159.151",53,Missing,QRtGqIsBe6QQWSyQ5CHg,1
"November 7th 2023, 05:34:48.649",Missing,"192.168.159.152","192.168.159.151",53,Missing,QxtGqIsBe6QQWSyQ5CHg,1
"November 7th 2023, 05:34:48.649",Missing,"192.168.159.152","192.168.159.151",53,Missing,RRtGqIsBe6QQWSyQ5CHg,1
"November 7th 2023, 05:34:48.649",Missing,"192.168.159.152","192.168.159.151",53,Missing,RhtGqIsBe6QQWSyQ5CHg,1
"November 7th 2023, 05:34:48.649",Missing,"192.168.159.152","192.168.159.151",53,Missing,RxtGqIsBe6QQWSyQ5CHg,1
"November 7th 2023, 05:38:57.520",Missing,"192.168.159.152","192.168.159.151",53,Missing,2xtKqIsBe6QQWSyQ1SKz,1
"November 7th 2023, 05:38:57.520",Missing,"192.168.159.152","192.168.159.151",53,Missing,nxtKqIsBe6QQWSyQhyJ6,1
