No.,Time,Source,Destination,Protocol,Length,Info,MitM
269,64.297473,192.168.159.151,192.168.159.152,DNS,84,Standard query 0x37d2 AAAA ntp.ubuntu.com.mydns.com,FALSE
270,64.297729,192.168.159.152,192.168.159.151,DNS,132,Standard query response 0xa5c2 No such name A ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com,FALSE
271,64.297747,192.168.159.152,192.168.159.151,DNS,132,Standard query response 0x37d2 No such name AAAA ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com,FALSE
272,64.297982,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x276f A 1.ubuntu.pool.ntp.org,FALSE
273,64.298172,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x0712 AAAA 1.ubuntu.pool.ntp.org,FALSE
274,64.34117,VMware_64:d8:25,VMware_1b:ea:01,ARP,42,Who has 192.168.159.152? Tell 192.168.159.151,FALSE
275,64.341418,VMware_1b:ea:01,VMware_64:d8:25,ARP,60,192.168.159.152 is at 00:0c:29:1b:ea:01,FALSE
276,64.89556,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
277,65.056102,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
278,65.895495,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
279,66.080132,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
280,67.498891,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
281,68.495561,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
282,69.058574,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
283,69.301788,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x276f A 1.ubuntu.pool.ntp.org,FALSE
284,69.301942,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x0712 AAAA 1.ubuntu.pool.ntp.org,FALSE
285,69.495723,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
286,70.080177,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
287,70.699071,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
288,71.104222,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
289,71.69555,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
290,72.69552,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
291,73.899188,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
292,74.062819,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
293,74.298542,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x276f Server failure A 1.ubuntu.pool.ntp.org,FALSE
294,74.298709,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x0712 Server failure AAAA 1.ubuntu.pool.ntp.org,FALSE
295,74.298809,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x9ea2 A 1.ubuntu.pool.ntp.org.mydns.com,FALSE
296,74.298951,192.168.159.151,192.168.159.152,DNS,91,Standard query 0xfc38 AAAA 1.ubuntu.pool.ntp.org.mydns.com,FALSE
297,74.299158,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x9ea2 No such name A 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
298,74.299168,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0xfc38 No such name AAAA 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
299,74.299406,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x7f59 A 3.ubuntu.pool.ntp.org,FALSE
300,74.299639,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xbc7f AAAA 3.ubuntu.pool.ntp.org,FALSE
301,74.895537,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
302,75.072049,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
303,75.895731,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
304,76.096395,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
305,77.500402,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
306,78.49976,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
307,79.067061,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
308,79.303959,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x7f59 A 3.ubuntu.pool.ntp.org,FALSE
309,79.304194,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xbc7f AAAA 3.ubuntu.pool.ntp.org,FALSE
310,79.499569,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
311,80.096191,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
312,80.700845,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
313,81.120077,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
314,81.699558,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
315,82.699641,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
316,84.071611,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
