"@timestamp: Descending","name.keyword: Descending","destination_ip: Descending","source_ip: Descending","destination_port: Descending","_id: Descending",Count
"November 7th 2023, 01:30:29.502",Missing,"192.168.159.152","192.168.159.151",53,yz9np4sBH3KOKVzRM697,1
"November 7th 2023, 01:31:06.986",Missing,"224.0.0.251","192.168.159.152",5353,DT9np4sBH3KOKVzRx7D4,1
"November 7th 2023, 01:31:06.986",Missing,"224.0.0.251","192.168.159.152",5353,Dz9np4sBH3KOKVzRx7D8,1
"November 7th 2023, 01:31:06.986",Missing,"ff02::fb","fe80::20c:29ff:fe1b:ea01",5353,Cj9np4sBH3KOKVzRx7Dx,1
"November 7th 2023, 01:31:06.986",Missing,"ff02::fb","fe80::20c:29ff:fe1b:ea01",5353,DD9np4sBH3KOKVzRx7D4,1
"November 7th 2023, 01:31:48.769",Missing,"224.0.0.251","192.168.142.1",5353,OT9op4sBH3KOKVzRaLBG,1
"November 7th 2023, 01:31:48.769",Missing,"224.0.0.251","192.168.142.1",5353,PD9op4sBH3KOKVzRaLBI,1
"November 7th 2023, 01:31:48.769",Missing,"224.0.0.251","192.168.159.153",5353,OD9op4sBH3KOKVzRaLBE,1
"November 7th 2023, 01:31:48.769",Missing,"224.0.0.251","192.168.159.153",5353,Oz9op4sBH3KOKVzRaLBI,1
"November 7th 2023, 01:32:43.905",Missing,"192.168.159.255","192.168.159.153",8610,Oz9qp4sBH3KOKVzRBrHG,1
"November 7th 2023, 01:32:43.905",Missing,"192.168.159.255","192.168.159.153",8612,Oj9qp4sBH3KOKVzRBrHG,1
"November 7th 2023, 01:32:43.905",Missing,"ff02::1","fe80::20c:29ff:fe34:250e",8610,OT9qp4sBH3KOKVzRBrHG,1
"November 7th 2023, 01:32:43.905",Missing,"ff02::1","fe80::20c:29ff:fe34:250e",8612,OD9qp4sBH3KOKVzRBrHG,1
"November 7th 2023, 01:33:06.384",Missing,"224.0.0.251","192.168.142.1",5353,CD9pp4sBH3KOKVzRmbFB,1
"November 7th 2023, 01:33:06.384",Missing,"224.0.0.251","192.168.142.1",5353,Cj9pp4sBH3KOKVzRmbFB,1
"November 7th 2023, 01:33:06.384",Missing,"224.0.0.251","192.168.159.153",5353,Bz9pp4sBH3KOKVzRmbFB,1
"November 7th 2023, 01:33:06.384",Missing,"224.0.0.251","192.168.159.153",5353,CT9pp4sBH3KOKVzRmbFB,1
"November 7th 2023, 01:35:25.487",Missing,"192.168.159.152","192.168.159.151",53,Aj9rp4sBH3KOKVzRuLLO,1
"November 7th 2023, 01:35:25.487",Missing,"192.168.159.152","192.168.159.151",53,Bz9rp4sBH3KOKVzRuLLb,1
"November 7th 2023, 01:35:25.487",Missing,"192.168.159.152","192.168.159.151",53,FD9rp4sBH3KOKVzR37Lm,1
"November 7th 2023, 01:35:25.487",Missing,"192.168.159.152","192.168.159.151",53,"_j9rp4sBH3KOKVzRkbG5",1
"November 7th 2023, 01:35:55.697",Missing,"224.0.0.251","192.168.142.1",5353,JT9sp4sBH3KOKVzRCrLh,1
"November 7th 2023, 01:35:55.697",Missing,"224.0.0.251","192.168.142.1",5353,fj9sp4sBH3KOKVzRfLJ8,1
"November 7th 2023, 01:35:55.697",Missing,"224.0.0.251","192.168.159.153",5353,Jj9sp4sBH3KOKVzRCrLk,1
"November 7th 2023, 01:35:55.697",Missing,"224.0.0.251","192.168.159.153",5353,ej9sp4sBH3KOKVzRfLJ3,1
"November 7th 2023, 01:36:02.861",Missing,"192.168.159.255","192.168.159.153",8610,xj9tp4sBH3KOKVzRDLL6,1
"November 7th 2023, 01:36:02.861",Missing,"192.168.159.255","192.168.159.153",8612,wz9tp4sBH3KOKVzRDLL2,1
"November 7th 2023, 01:36:02.861",Missing,"ff02::1","fe80::20c:29ff:fe34:250e",8610,xT9tp4sBH3KOKVzRDLL6,1
"November 7th 2023, 01:36:02.861",Missing,"ff02::1","fe80::20c:29ff:fe34:250e",8612,xD9tp4sBH3KOKVzRDLL6,1
"November 7th 2023, 01:36:25.743",Missing,"224.0.0.251","192.168.142.1",5353,jz9sp4sBH3KOKVzRo7Jl,1
"November 7th 2023, 01:36:25.743",Missing,"224.0.0.251","192.168.142.1",5353,kT9sp4sBH3KOKVzRo7Jm,1
"November 7th 2023, 01:36:25.743",Missing,"224.0.0.251","192.168.159.153",5353,jj9sp4sBH3KOKVzRo7Jl,1
"November 7th 2023, 01:36:25.743",Missing,"224.0.0.251","192.168.159.153",5353,kD9sp4sBH3KOKVzRo7Jm,1
"November 7th 2023, 01:36:42.464",Missing,"224.0.0.251","192.168.159.153",5353,5T9tp4sBH3KOKVzRNLIR,1
"November 7th 2023, 01:36:42.464",Missing,"224.0.0.251","192.168.159.153",5353,8j9tp4sBH3KOKVzRNLIY,1
"November 7th 2023, 01:36:42.464",Missing,"ff02::fb","fe80::20c:29ff:fe34:250e",5353,5j9tp4sBH3KOKVzRNLIY,1
"November 7th 2023, 01:36:42.464",Missing,"ff02::fb","fe80::20c:29ff:fe34:250e",5353,8T9tp4sBH3KOKVzRNLIY,1
"November 7th 2023, 01:37:46.489",Missing,"192.168.159.152","192.168.159.151",53,CT9tp4sBH3KOKVzRubMc,1
"November 7th 2023, 01:37:46.489",Missing,"192.168.159.152","192.168.159.151",53,ED9tp4sBH3KOKVzR4LNE,1
"November 7th 2023, 01:37:46.489",Missing,"192.168.159.152","192.168.159.151",53,ET9tp4sBH3KOKVzR4LNE,1
"November 7th 2023, 01:37:46.489",Missing,"192.168.159.152","192.168.159.151",53,QD9up4sBH3KOKVzRB7Nh,1
"November 7th 2023, 01:38:06.492",Missing,"192.168.159.152","192.168.159.151",53,Pz9up4sBH3KOKVzRB7Nh,1
"November 7th 2023, 01:38:06.492",Missing,"192.168.159.152","192.168.159.151",53,TD9up4sBH3KOKVzRLrNc,1
"November 7th 2023, 01:38:06.492",Missing,"192.168.159.152","192.168.159.151",53,UD9up4sBH3KOKVzRLrNh,1
"November 7th 2023, 01:38:06.492",Missing,"192.168.159.152","192.168.159.151",53,WD9up4sBH3KOKVzRVbNo,1
"November 7th 2023, 01:40:06.491",Missing,"192.168.159.152","192.168.159.151",53,Jj9wp4sBH3KOKVzRA7R2,1
"November 7th 2023, 01:40:06.491",Missing,"192.168.159.152","192.168.159.151",53,Kz9wp4sBH3KOKVzRA7SL,1
"November 7th 2023, 01:40:06.491",Missing,"192.168.159.152","192.168.159.151",53,Oj9wp4sBH3KOKVzRKrSG,1
"November 7th 2023, 01:41:10.826",Missing,"224.0.0.251","192.168.142.1",5353,"iD9wp4sBH3KOKVzR_bSw",1
"November 7th 2023, 01:41:10.826",Missing,"224.0.0.251","192.168.142.1",5353,"ij9wp4sBH3KOKVzR_bSw",1
"November 7th 2023, 01:41:10.826",Missing,"224.0.0.251","192.168.159.152",5353,"hz9wp4sBH3KOKVzR_bSu",1
"November 7th 2023, 01:41:10.826",Missing,"224.0.0.251","192.168.159.152",5353,"iT9wp4sBH3KOKVzR_bSw",1
"November 7th 2023, 01:41:30.996",Missing,"224.0.0.251","192.168.142.1",5353,4j9xp4sBH3KOKVzRnrQQ,1
"November 7th 2023, 01:41:30.996",Missing,"224.0.0.251","192.168.142.1",5353,mj9xp4sBH3KOKVzRKLTx,1
"November 7th 2023, 01:41:30.996",Missing,"224.0.0.251","192.168.159.152",5353,4T9xp4sBH3KOKVzRnrQQ,1
"November 7th 2023, 01:41:30.996",Missing,"224.0.0.251","192.168.159.152",5353,kz9xp4sBH3KOKVzRKLS9,1
"November 7th 2023, 01:41:31.515",Missing,"192.168.159.152","192.168.159.151",53,tT9xp4sBH3KOKVzRT7TY,1
"November 7th 2023, 01:41:31.515",Missing,"192.168.159.152","192.168.159.151",53,uD9xp4sBH3KOKVzRT7TY,1
"November 7th 2023, 01:41:31.515",Missing,"192.168.159.152","192.168.159.151",53,uT9xp4sBH3KOKVzRT7Ta,1
"November 7th 2023, 01:41:31.515",Missing,"192.168.159.151","192.168.159.152",3,Iz9yp4sBH3KOKVzRE7VT,1
"November 7th 2023, 01:41:31.517",Missing,"192.168.159.152","192.168.159.151",53,uz9xp4sBH3KOKVzRT7Ta,1
"November 7th 2023, 01:41:31.517",Missing,"192.168.159.152","192.168.159.151",53,wj9xp4sBH3KOKVzRULQG,1
"November 7th 2023, 01:41:31.517",Missing,"192.168.159.152","192.168.159.151",53,xD9xp4sBH3KOKVzRULQG,1
"November 7th 2023, 01:41:31.517",Missing,"192.168.159.152","192.168.159.151",53,xT9xp4sBH3KOKVzRULQG,1
"November 7th 2023, 01:42:02.916",Missing,"224.0.0.251","192.168.142.1",5353,BT9xp4sBH3KOKVzRybUK,1
"November 7th 2023, 01:42:02.916",Missing,"224.0.0.251","192.168.142.1",5353,Bj9xp4sBH3KOKVzRybUK,1
"November 7th 2023, 01:42:02.916",Missing,"224.0.0.251","192.168.159.152",5353,Az9xp4sBH3KOKVzRybUJ,1
"November 7th 2023, 01:42:02.916",Missing,"224.0.0.251","192.168.159.152",5353,BD9xp4sBH3KOKVzRybUK,1
"November 7th 2023, 01:43:38.936",Missing,"224.0.0.251","192.168.142.1",5353,jz9zp4sBH3KOKVzRPLV8,1
"November 7th 2023, 01:43:38.936",Missing,"224.0.0.251","192.168.142.1",5353,kT9zp4sBH3KOKVzRPLV8,1
"November 7th 2023, 01:43:38.936",Missing,"224.0.0.251","192.168.159.152",5353,jj9zp4sBH3KOKVzRPLV8,1
"November 7th 2023, 01:43:38.936",Missing,"224.0.0.251","192.168.159.152",5353,kD9zp4sBH3KOKVzRPLV8,1
"November 7th 2023, 01:44:27.491",Missing,"192.168.159.152","192.168.159.151",53,"5T9zp4sBH3KOKVzR_LUm",1
"November 7th 2023, 01:44:27.491",Missing,"192.168.159.152","192.168.159.151",53,"5j9zp4sBH3KOKVzR_LUm",1
"November 7th 2023, 01:44:27.491",Missing,"192.168.159.152","192.168.159.151",53,9D90p4sBH3KOKVzRI7U6,1
"November 7th 2023, 01:45:14.487",Missing,"192.168.159.152","192.168.159.151",53,ST90p4sBH3KOKVzRjLbJ,1
"November 7th 2023, 01:45:14.487",Missing,"192.168.159.152","192.168.159.151",53,VD90p4sBH3KOKVzRs7bk,1
"November 7th 2023, 01:45:14.487",Missing,"192.168.159.152","192.168.159.151",53,VT90p4sBH3KOKVzRs7bk,1
"November 7th 2023, 01:45:14.487",Missing,"192.168.159.152","192.168.159.151",53,YD90p4sBH3KOKVzR27YL,1
"November 7th 2023, 01:45:24.489",Missing,"192.168.159.152","192.168.159.151",53,Uj90p4sBH3KOKVzRs7bk,1
"November 7th 2023, 01:45:24.489",Missing,"192.168.159.152","192.168.159.151",53,Wz90p4sBH3KOKVzR27YL,1
"November 7th 2023, 01:45:24.489",Missing,"192.168.159.152","192.168.159.151",53,XD90p4sBH3KOKVzR27YL,1
